,put_money_in_bank,took_money_out_of_bank,got_a_loan,received_a_line_of_credit,took_out_a_mortgage,paid_a_loan,bought_a_machine,bought_a_vehicle,bought_real_estate,bought_furniture,bought_a_copier,bought_a_computer,bought_tools_or_equipment,paid_a_personal_expense,sold_asset,earned_interest,received_dividend,received_credit_card_rewards,got_refund_of_expense,got_other_income,got_tax_refund,got_partnership_income,sale_of_product_income,sale_of_service_income,inventory,asset,loans_to_others,payments_to_deposit,uncategorized_asset,buildings,land,office_equipment,computers_tablets,copiers,custom_software_app,furniture,phones,photo_video_equipment,tools_machinery_equipment,vehicles,customer_prepayments,sales_tax_payments,short_term_business_loans_payments_made,long_term_business_loans_payments_made,mortgages_payments_made,federal_estimated_taxes_paid,personal_expenses_federal_taxes,owner_retirement_plans,personal_expenses,state_taxes,personal_healthcare,personal_healthcare_health_insurance_premiums,personal_healthcare_hsa_contributions,state_estimated_taxes,refunds_to_customers,cost_of_goods_sold,equipment_rental,subcontractor_expenses,supplies_and_materials,advertising_and_marketing,listing_fees,social_media_advertising_and_marketing,website_ads,building_and_property_rent,business_licenses,commissions_and_fees,contract_labor,contributions_to_charities,employee_benefits,employee_retirement_plans,employee_benefits_group_term_life_insurance,employee_benefits_health_and_accident_plans,workers_compensation_insurance,entertainment_with_clients,general_business_expenses,bad_debt_general,bank_fees_and_service_charges,continuing_education,memberships_and_subscriptions,uniforms,liability_insurance,property_insurance,rental_insurance,business_loan_interest,credit_card_interest,mortgage_interest,accounting_fees,legal_fees,meals_with_clients,travel_meals,merchant_account_fees,office_supplies,printing_and_photocopying,shipping_and_postage,small_tools_and_equipment,software_and_apps,wages,repairs_and_maintenance,payroll_taxes,property_taxes,airfare,hotels,taxis_or_shared_rides,vehicle_rental,uncategorized_expense,disposal_waste_fees_utilities,electricity_utilities,heating_cooling_utilities,internet_tv_services,phone_service,utilities_water_sewer,depreciation_home_office,home_office_homeowner_rental_insurance,home_office_home_utilities,home_office_mortgage_interest,home_office_property_taxes,home_office_rent,home_office_repairs_maintenance,vehicle_expenses,parking_tolls,notes,neither_expense_nor_income,income,expense
The state tax payment was processed.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pay,0,0,1
"Today, I earned rewards from my credit card.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,earned rewards,0,1,0
A significant amount of stock was sold.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stock,0,0,1
We settled a personal expense last month.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,settled a personal expense,1,0,0
A business loan was approved and funds were secured.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funds,0,0,1
The rental insurance payment is due next week.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pay,0,0,1
We processed a customer refund yesterday.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
"Utility bills, including electricity and water, were paid.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,utility bill,0,0,1
A car was rented for the business trip.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Funds were added to the company's bank account.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,funds,0,0,1
