Date,Amount,Involvement,Payment Method,Transaction Type,Category
04-12-2024,$1220 paid for office renovation,Renovate Inc.,Direct Deposit,Paid for office renovation,Repairs & maintenance
12-16-2023,$2147 spent on travel meals,Gourmet Caterers,Venmo,Spent on travel meals,Travel meals
06-27-2024,$2214 paid building rent,ExpandCo,Bank Transfer,Paid building rent,Building & property rent
02-15-2024,$2313 purchased software subscription,Microsoft,Cash,Purchased software subscription,Software & apps
11-11-2024,$2898 paid for shipping fees,ShipIt Logistics,Credit Card,Paid for shipping fees,Shipping & postage
04-22-2024,$2928 paid employee appreciation expenses,Thankful Gifts,Cash,Paid employee appreciation expenses,Employee benefits
01-03-2024,$1256 paid for subcontractor services,ABC Contracting,Bank Transfer,Paid for subcontractor services,Subcontractor expenses
03-10-2024,$3854 paid health insurance premiums,HealthCare Inc.,Direct Deposit,Paid health insurance premiums,Employee benefits:Health insurance
06-07-2024,$3877 paid for advertising campaign,SocialBoost,Bank Transfer,Paid for advertising campaign,Social media advertising & marketing
07-18-2024,$3659 contributed to employee retirement plan,RetireWell,Direct Deposit,Contributed to employee retirement plan,Employee retirement plans
03-28-2024,$2472 purchased office supplies,Staples,Venmo,Purchased office supplies,Office supplies
12-17-2023,$4772 paid for office renovation,CoolFix HVAC,Bank Transfer,Paid for office renovation,Repairs & maintenance
08-21-2024,$2299 spent on travel meals,Gourmet Caterers,Venmo,Spent on travel meals,Travel meals
08-14-2024,$2151 paid building rent,ABC Realty,Cash,Paid building rent,Building & property rent
07-20-2024,$2409 purchased software subscription,CloudKeep,Venmo,Purchased software subscription,Software & apps
01-23-2024,$3230 paid for shipping fees,AquaPure,Credit Card,Paid for shipping fees,Shipping & postage
04-13-2024,$3090 paid employee appreciation expenses,EmployeePay Inc.,Venmo,Paid employee appreciation expenses,Employee benefits
04-24-2024,$2702 paid for subcontractor services,Bright Solutions,Direct Deposit,Paid for subcontractor services,Subcontractor expenses
08-27-2024,$2154 paid health insurance premiums,FutureSecure Fund,Credit Card,Paid health insurance premiums,Employee benefits:Health insurance
10-14-2024,$2058 paid for advertising campaign,Meta Promotions,Direct Deposit,Paid for advertising campaign,Social media advertising & marketing
09-03-2024,$1984 contributed to employee retirement plan,RetireWell,Bank Transfer,Contributed to employee retirement plan,Employee retirement plans
11-27-2024,$4762 purchased office supplies,Office Depot,Bank Transfer,Purchased office supplies,Office supplies
03-30-2024,$3281 paid for office renovation,Renovate Inc.,Cash,Paid for office renovation,Repairs & maintenance
06-19-2024,$519 spent on travel meals,Local Eatery,Venmo,Spent on travel meals,Travel meals
02-23-2024,$1065 paid building rent,RentMaster,Direct Deposit,Paid building rent,Building & property rent
03-17-2024,$1203 purchased software subscription,CloudKeep,Venmo,Purchased software subscription,Software & apps
05-07-2024,$3296 paid for shipping fees,AquaPure,Bank Transfer,Paid for shipping fees,Shipping & postage
04-04-2024,$4425 paid employee appreciation expenses,EmployeePay Inc.,Cash,Paid employee appreciation expenses,Employee benefits
06-28-2024,$2203 paid for subcontractor services,Global Contractors,Credit Card,Paid for subcontractor services,Subcontractor expenses
